,longitude,latitude,housing_median_age,total_rooms,population,households,median_income,median_house_value,ocean_proximity_<1h ocean,ocean_proximity_inland,ocean_proximity_island,ocean_proximity_near bay,ocean_proximity_near ocean
47,-122.27,37.82,43,1007,558,253,1.7348,137500.0,0,0,0,1,0
48,-122.26,37.82,40,624,423,160,0.9506,187500.0,0,0,0,1,0
49,-122.27,37.82,40,946,700,352,1.775,112500.0,0,0,0,1,0
50,-122.27,37.82,21,896,735,438,0.9218,171900.0,0,0,0,1,0
51,-122.27,37.82,43,1868,1061,407,1.5045,93800.0,0,0,0,1,0
52,-122.27,37.82,41,3221,1959,720,1.1108,97500.0,0,0,0,1,0
53,-122.27,37.82,52,1630,1162,400,1.2475,104200.0,0,0,0,1,0
54,-122.28,37.82,52,1170,701,233,1.6098,87500.0,0,0,0,1,0
55,-122.28,37.82,52,945,576,220,1.4113,83100.0,0,0,0,1,0
56,-122.28,37.82,52,1238,622,259,1.5057,87500.0,0,0,0,1,0
57,-122.28,37.82,52,1489,728,244,0.8172,85300.0,0,0,0,1,0
58,-122.28,37.82,52,1387,1074,304,1.2171,80300.0,0,0,0,1,0
59,-122.29,37.82,2,158,94,57,2.5625,60000.0,0,0,0,1,0
60,-122.29,37.83,52,1121,554,187,3.3929,75700.0,0,0,0,1,0
61,-122.29,37.82,49,135,86,23,6.1183,75000.0,0,0,0,1,0
62,-122.29,37.81,50,760,377,122,0.9011,86100.0,0,0,0,1,0
63,-122.3,37.81,52,1224,521,159,1.191,76100.0,0,0,0,1,0
64,-122.3,37.81,48,828,392,133,2.5938,73500.0,0,0,0,1,0
65,-122.3,37.81,52,1010,604,187,1.1667,78400.0,0,0,0,1,0
66,-122.3,37.81,48,1455,788,332,0.8056,84400.0,0,0,0,1,0
67,-122.29,37.8,52,1027,492,147,2.6094,81300.0,0,0,0,1,0
68,-122.3,37.81,52,572,274,82,1.8516,85000.0,0,0,0,1,0
69,-122.29,37.81,46,2801,1823,611,0.9802,129200.0,0,0,0,1,0
70,-122.29,37.81,26,768,392,127,1.7719,82500.0,0,0,0,1,0
71,-122.29,37.81,46,935,582,277,0.7286,95200.0,0,0,0,1,0
72,-122.29,37.81,49,844,560,152,1.75,75000.0,0,0,0,1,0
73,-122.29,37.81,46,12,18,7,0.4999,67500.0,0,0,0,1,0
74,-122.29,37.81,20,835,290,133,2.483,137500.0,0,0,0,1,0
75,-122.28,37.81,17,1237,762,439,0.9241,177500.0,0,0,0,1,0
76,-122.28,37.81,36,2914,1236,509,2.4464,102100.0,0,0,0,1,0
77,-122.28,37.81,19,1207,721,207,1.1111,108300.0,0,0,0,1,0
78,-122.29,37.81,23,1745,1054,325,0.8026,112500.0,0,0,0,1,0
79,-122.28,37.8,38,684,344,155,2.0114,131300.0,0,0,0,1,0
80,-122.28,37.81,17,924,609,289,1.5,162500.0,0,0,0,1,0
81,-122.27,37.81,52,210,183,56,1.1667,112500.0,0,0,0,1,0
82,-122.28,37.81,52,340,200,87,1.5208,112500.0,0,0,0,1,0
83,-122.28,37.81,52,386,346,155,0.8075,137500.0,0,0,0,1,0
84,-122.28,37.81,35,948,467,169,1.8088,118800.0,0,0,0,1,0
85,-122.28,37.81,52,773,377,115,2.4083,98200.0,0,0,0,1,0
86,-122.27,37.81,40,880,582,380,0.977,118800.0,0,0,0,1,0
87,-122.27,37.81,10,875,546,330,0.76,162500.0,0,0,0,1,0
88,-122.27,37.8,10,105,125,39,0.9722,137500.0,0,0,0,1,0
89,-122.27,37.8,52,249,396,85,1.2434,482412.5,0,0,0,1,0
90,-122.27,37.8,16,994,800,362,2.0938,162500.0,0,0,0,1,0
91,-122.28,37.8,52,215,904,88,0.8668,137500.0,0,0,0,1,0
92,-122.28,37.8,52,96,191,34,0.75,162500.0,0,0,0,1,0
93,-122.27,37.79,27,1055,718,302,2.6354,187500.0,0,0,0,1,0
94,-122.27,37.8,39,1715,1327,467,1.8477,179200.0,0,0,0,1,0
95,-122.26,37.8,36,5329,3132,1092,2.0096,130000.0,0,0,0,1,0
96,-122.26,37.82,31,4596,2048,1092,2.8345,183800.0,0,0,0,1,0
97,-122.26,37.81,29,335,202,91,2.0062,125000.0,0,0,0,1,0
98,-122.26,37.82,22,3682,2024,1092,1.2185,170000.0,0,0,0,1,0
99,-122.26,37.82,37,3633,1838,980,2.6104,193100.0,0,0,0,1,0
100,-122.25,37.81,29,4656,2304,1092,2.4912,257800.0,0,0,0,1,0
101,-122.25,37.81,28,5698,2563,1092,3.2177,273400.0,0,0,0,1,0
102,-122.25,37.81,39,854,389,228,3.125,237500.0,0,0,0,1,0
103,-122.25,37.81,52,2155,895,613,2.5795,350000.0,0,0,0,1,0
104,-122.26,37.81,34,5698,2689,1092,2.8406,335700.0,0,0,0,1,0
105,-122.24,37.82,52,1509,674,244,4.9306,313400.0,0,0,0,1,0
106,-122.24,37.81,52,2026,709,456,3.2727,268500.0,0,0,0,1,0
107,-122.25,37.81,52,1758,686,422,3.1691,259400.0,0,0,0,1,0
108,-122.24,37.82,52,3481,1444,718,3.9,275700.0,0,0,0,1,0
109,-122.25,37.82,28,3337,1520,802,3.9063,225000.0,0,0,0,1,0
110,-122.25,37.82,52,1424,550,253,5.0917,262500.0,0,0,0,1,0
111,-122.25,37.82,32,3809,1806,1022,2.6429,218500.0,0,0,0,1,0
112,-122.25,37.82,26,3959,1749,1092,3.0233,255000.0,0,0,0,1,0
113,-122.25,37.83,52,2376,939,519,3.1484,224100.0,0,0,0,1,0
114,-122.25,37.83,35,1613,675,422,3.4722,243100.0,0,0,0,1,0
115,-122.25,37.83,52,1279,534,291,3.1429,231600.0,0,0,0,1,0
116,-122.25,37.83,28,5022,2558,1092,2.4234,218500.0,0,0,0,1,0
117,-122.25,37.83,52,4190,1786,1037,3.0897,234100.0,0,0,0,1,0
118,-122.23,37.84,50,2515,970,373,5.8596,327600.0,0,0,0,1,0
119,-122.23,37.84,47,3175,1098,485,5.2868,347600.0,0,0,0,1,0
120,-122.24,37.83,41,2576,794,376,5.956,366100.0,0,0,0,1,0
121,-122.24,37.85,37,334,98,47,4.9643,335000.0,0,0,0,1,0
122,-122.23,37.85,52,2800,1061,403,6.3434,373600.0,0,0,0,1,0
123,-122.24,37.84,52,3529,1177,555,5.1773,389500.0,0,0,0,1,0
124,-122.24,37.85,52,2612,901,367,7.2354,391100.0,0,0,0,1,0
125,-122.22,37.85,28,5287,2031,956,5.457,337300.0,0,0,0,1,0
126,-122.22,37.84,50,2935,1031,479,7.5,295200.0,0,0,0,1,0
127,-122.21,37.84,44,3424,1358,597,6.0194,292300.0,0,0,0,1,0
128,-122.21,37.83,40,4991,1616,654,7.5544,411500.0,0,0,0,1,0
129,-122.2,37.84,30,2211,844,343,6.0666,311500.0,0,0,0,1,0
130,-122.21,37.84,34,3038,1140,496,7.0548,325900.0,0,0,0,1,0
131,-122.19,37.84,18,1617,533,194,8.013024999999999,392600.0,0,0,0,1,0
132,-122.2,37.84,35,2865,1072,443,7.4882,319300.0,0,0,0,1,0
133,-122.21,37.83,34,5065,1627,766,6.8976,333300.0,0,0,0,1,0
134,-122.19,37.83,28,1326,463,190,8.013024999999999,335200.0,0,0,0,1,0
135,-122.2,37.83,26,1589,542,211,8.013024999999999,351200.0,0,0,0,1,0
136,-122.19,37.83,29,1791,661,269,6.8538,368900.0,0,0,0,1,0
137,-122.19,37.82,32,1835,635,263,8.013024999999999,365900.0,0,0,0,1,0
138,-122.2,37.82,37,1229,420,176,7.0175,366700.0,0,0,0,1,0
139,-122.2,37.82,39,3770,1265,500,6.3302,362800.0,0,0,0,1,0
140,-122.18,37.81,30,292,126,52,6.3624,482412.5,0,0,0,1,0
141,-122.21,37.82,52,2375,813,350,7.0549,331400.0,0,0,0,1,0
142,-122.2,37.81,45,2964,1067,426,6.7851,323500.0,0,0,0,1,0
143,-122.21,37.8,50,2833,1260,552,2.8929,216700.0,0,0,0,1,0
144,-122.21,37.8,38,2254,951,487,3.0812,233100.0,0,0,0,1,0
145,-122.21,37.81,52,1389,510,224,5.2402,296400.0,0,0,0,1,0
146,-122.22,37.81,52,1971,765,308,6.5217,273700.0,0,0,0,1,0
147,-122.22,37.8,52,2183,1129,460,3.2632,227700.0,0,0,0,1,0
148,-122.22,37.8,52,2286,1073,441,3.0298,199600.0,0,0,0,1,0
149,-122.22,37.8,52,2721,1185,515,4.5428,239800.0,0,0,0,1,0
150,-122.22,37.81,52,2024,756,340,4.072,270100.0,0,0,0,1,0
151,-122.22,37.81,52,2944,1034,521,5.3509,302100.0,0,0,0,1,0
152,-122.23,37.8,52,2033,787,459,3.1603,269500.0,0,0,0,1,0
153,-122.23,37.81,52,1433,612,213,4.7708,314700.0,0,0,0,1,0
154,-122.22,37.81,52,2927,1021,380,8.013024999999999,390100.0,0,0,0,1,0
155,-122.23,37.81,52,2315,861,258,8.013024999999999,410300.0,0,0,0,1,0
156,-122.24,37.81,52,2485,953,327,6.8591,352400.0,0,0,0,1,0
157,-122.24,37.81,52,1490,634,256,6.0302,287300.0,0,0,0,1,0
158,-122.23,37.81,52,2814,878,352,7.508,348700.0,0,0,0,1,0
159,-122.24,37.81,52,2093,918,483,2.7477,243800.0,0,0,0,1,0
160,-122.24,37.8,52,888,360,175,2.1944,211500.0,0,0,0,1,0
161,-122.25,37.8,52,2087,1197,488,3.0149,218400.0,0,0,0,1,0
162,-122.24,37.81,52,2513,1048,518,3.675,269900.0,0,0,0,1,0
163,-122.25,37.81,46,3232,1373,747,3.225,218800.0,0,0,0,1,0
164,-122.25,37.8,42,4120,1715,1015,2.9345,225000.0,0,0,0,1,0
165,-122.25,37.8,43,2364,1359,722,2.1429,250000.0,0,0,0,1,0
166,-122.25,37.8,41,1471,1062,413,1.6121,171400.0,0,0,0,1,0
167,-122.25,37.8,29,2468,1335,773,1.3929,193800.0,0,0,0,1,0
168,-122.24,37.79,27,1632,1171,429,2.3173,125000.0,0,0,0,1,0
169,-122.25,37.79,45,1786,1475,460,1.7772,97500.0,0,0,0,1,0
170,-122.25,37.79,50,629,742,196,2.6458,125000.0,0,0,0,1,0
171,-122.25,37.79,52,1339,1086,363,2.181,138800.0,0,0,0,1,0
172,-122.25,37.8,36,1678,1645,543,2.2303,116700.0,0,0,0,1,0
173,-122.25,37.8,43,2344,1710,644,1.6504,151800.0,0,0,0,1,0
174,-122.24,37.8,52,996,731,228,2.2697,127000.0,0,0,0,1,0
175,-122.24,37.8,52,1591,1118,347,2.1563,128600.0,0,0,0,1,0
176,-122.24,37.8,52,1586,1006,335,2.1348,140600.0,0,0,0,1,0
177,-122.24,37.8,47,2046,1213,554,2.6292,182700.0,0,0,0,1,0
178,-122.23,37.8,52,1192,772,257,2.3833,146900.0,0,0,0,1,0
179,-122.24,37.8,52,1803,1321,401,2.957,122800.0,0,0,0,1,0
180,-122.24,37.8,49,2838,1487,677,2.5238,169300.0,0,0,0,1,0
181,-122.23,37.8,52,783,488,186,1.9375,126600.0,0,0,0,1,0
182,-122.23,37.8,51,1590,949,392,1.9028,127900.0,0,0,0,1,0
183,-122.23,37.8,50,1746,1149,415,2.25,123500.0,0,0,0,1,0
184,-122.23,37.8,52,1252,844,280,2.3929,111900.0,0,0,0,1,0
185,-122.23,37.79,43,5698,3132,1092,2.1917,112800.0,0,0,0,1,0
186,-122.23,37.79,52,1783,1659,412,2.9357,107900.0,0,0,0,1,0
187,-122.23,37.79,30,999,1011,263,1.8854,137500.0,0,0,0,1,0
188,-122.24,37.79,39,1469,1464,389,2.1638,105500.0,0,0,0,1,0
189,-122.24,37.79,47,1372,1237,303,2.125,95500.0,0,0,0,1,0
190,-122.24,37.79,52,674,647,168,3.375,116100.0,0,0,0,1,0
191,-122.24,37.79,43,1626,1284,357,2.2542,112200.0,0,0,0,1,0
192,-122.25,37.79,51,175,228,55,2.1,75000.0,0,0,0,1,0
193,-122.25,37.79,39,461,381,123,1.6,112500.0,0,0,0,1,0
194,-122.25,37.79,52,902,846,227,3.625,125000.0,0,0,0,1,0
195,-122.26,37.8,20,2373,1659,676,1.6929,115000.0,0,0,0,1,0
196,-122.22,37.77,52,391,520,138,1.6471,95000.0,0,0,0,1,0
197,-122.22,37.77,52,1137,866,259,2.59,96400.0,0,0,0,1,0
198,-122.23,37.77,52,769,612,183,2.57,72000.0,0,0,0,1,0
199,-122.23,37.78,52,472,415,126,2.6429,71300.0,0,0,0,1,0
200,-122.23,37.78,52,862,994,213,3.0257,80800.0,0,0,0,1,0
201,-122.22,37.78,50,1920,1525,477,1.4886,128800.0,0,0,0,1,0
202,-122.23,37.78,43,1420,1506,438,1.9338,112500.0,0,0,0,1,0
203,-122.23,37.78,52,986,1008,255,1.4844,119400.0,0,0,0,1,0
204,-122.23,37.78,44,2340,2813,751,1.6009,118100.0,0,0,0,1,0
205,-122.23,37.79,48,1696,1481,343,2.0375,122500.0,0,0,0,1,0
206,-122.23,37.79,49,1175,859,219,2.293,106300.0,0,0,0,1,0
207,-122.22,37.79,37,2343,1608,523,2.1494,132500.0,0,0,0,1,0
208,-122.23,37.79,30,610,425,140,1.6198,122700.0,0,0,0,1,0
209,-122.23,37.79,40,930,564,184,1.3281,113300.0,0,0,0,1,0
210,-122.22,37.79,44,1487,961,272,3.5156,109500.0,0,0,0,1,0
211,-122.22,37.79,52,3424,2273,685,3.9048,164700.0,0,0,0,1,0
212,-122.21,37.79,52,762,600,195,3.0893,125000.0,0,0,0,1,0
213,-122.22,37.79,46,2366,1647,527,2.6042,124700.0,0,0,0,1,0
214,-122.22,37.79,49,1826,1201,424,2.5,136700.0,0,0,0,1,0
215,-122.22,37.79,38,3049,2167,659,2.7969,141700.0,0,0,0,1,0
216,-122.2,37.79,29,1640,939,340,2.8321,150000.0,0,0,0,1,0
217,-122.21,37.79,47,1543,859,292,2.9583,138800.0,0,0,0,1,0
218,-122.21,37.79,34,2364,1517,516,2.8365,139200.0,0,0,0,1,0
219,-122.21,37.79,35,1745,1143,386,2.875,143800.0,0,0,0,1,0
220,-122.21,37.8,39,2003,1109,464,3.0682,156500.0,0,0,0,1,0
221,-122.21,37.8,39,2018,1221,446,3.0757,151000.0,0,0,0,1,0
222,-122.2,37.8,43,3045,1115,455,4.9559,273000.0,0,0,0,1,0
223,-122.2,37.8,52,1547,706,268,4.7721,217100.0,0,0,0,1,0
224,-122.21,37.8,52,3519,1883,706,3.4861,187100.0,0,0,0,1,0
225,-122.2,37.8,41,2070,804,340,5.1184,239600.0,0,0,0,1,0
226,-122.21,37.8,48,1321,506,252,4.0977,229700.0,0,0,0,1,0
227,-122.19,37.8,48,1694,610,238,4.744,257300.0,0,0,0,1,0
228,-122.19,37.8,46,1938,768,332,4.2727,246900.0,0,0,0,1,0
229,-122.19,37.79,50,968,462,184,2.9844,179900.0,0,0,0,1,0
230,-122.2,37.79,40,1060,667,235,4.1739,169600.0,0,0,0,1,0
231,-122.2,37.8,46,2041,1059,399,3.8487,203300.0,0,0,0,1,0
232,-122.19,37.8,52,1813,637,277,4.0114,263400.0,0,0,0,1,0
233,-122.19,37.79,45,2718,1106,454,4.6563,231800.0,0,0,0,1,0
234,-122.19,37.79,28,3144,1737,669,2.9297,140500.0,0,0,0,1,0
235,-122.2,37.79,35,1802,1009,390,2.3036,126000.0,0,0,0,1,0
236,-122.2,37.79,49,882,737,210,2.6667,122000.0,0,0,0,1,0
237,-122.2,37.79,44,1621,1354,491,2.619,134700.0,0,0,0,1,0
238,-122.21,37.79,45,2115,1530,474,2.4167,139400.0,0,0,0,1,0
239,-122.2,37.79,45,2021,1410,480,2.7788,115400.0,0,0,0,1,0
240,-122.21,37.78,46,2239,1390,569,2.7352,137300.0,0,0,0,1,0
241,-122.21,37.78,52,1477,1065,269,1.8472,137000.0,0,0,0,1,0
242,-122.21,37.78,52,1056,792,245,2.6583,142600.0,0,0,0,1,0
243,-122.21,37.78,49,898,779,245,3.0536,137500.0,0,0,0,1,0
244,-122.22,37.78,44,2968,2269,610,2.3906,111700.0,0,0,0,1,0
245,-122.21,37.78,43,1702,1227,407,1.7188,126800.0,0,0,0,1,0
246,-122.21,37.78,47,881,753,241,2.625,111300.0,0,0,0,1,0
247,-122.22,37.77,40,494,547,135,2.8015,114800.0,0,0,0,1,0
248,-122.22,37.78,50,1776,1807,440,1.7276,102300.0,0,0,0,1,0
249,-122.22,37.78,44,1678,1700,495,2.0801,131900.0,0,0,0,1,0
250,-122.22,37.78,51,1637,1543,393,2.489,119100.0,0,0,0,1,0
251,-122.21,37.76,52,1420,1085,300,1.7546,80600.0,0,0,0,1,0
252,-122.21,37.77,52,591,353,137,4.0904,80600.0,0,0,0,1,0
253,-122.21,37.77,52,745,473,149,2.6765,88800.0,0,0,0,1,0
254,-122.2,37.77,49,2272,1621,483,2.4338,102400.0,0,0,0,1,0
255,-122.21,37.77,46,1234,1183,354,2.3309,98700.0,0,0,0,1,0
256,-122.21,37.77,43,1017,836,277,2.2604,100000.0,0,0,0,1,0
257,-122.19,37.77,42,932,900,263,1.8039,92300.0,0,0,0,1,0
258,-122.2,37.77,39,2689,1888,537,2.2562,94800.0,0,0,0,1,0
259,-122.2,37.77,41,1547,1024,341,2.0562,102000.0,0,0,0,1,0
260,-122.2,37.78,52,2300,1225,423,3.5398,158400.0,0,0,0,1,0
261,-122.2,37.78,39,1752,1071,376,3.1167,121600.0,0,0,0,1,0
262,-122.2,37.78,50,1867,1128,378,2.5401,129100.0,0,0,0,1,0
263,-122.2,37.77,43,2430,1537,484,2.898,121400.0,0,0,0,1,0
264,-122.21,37.78,44,1729,1240,393,2.3125,102800.0,0,0,0,1,0
265,-122.19,37.78,52,1026,469,168,2.875,160000.0,0,0,0,1,0
266,-122.19,37.77,52,2170,1086,425,3.3715,143900.0,0,0,0,1,0
267,-122.19,37.77,52,2329,1144,417,3.5114,151200.0,0,0,0,1,0
268,-122.19,37.78,52,2492,1109,375,4.3125,164400.0,0,0,0,1,0
269,-122.19,37.78,52,2198,984,369,3.22,156500.0,0,0,0,1,0
270,-122.18,37.78,33,142,575,47,3.875,225000.0,0,0,0,1,0
271,-122.19,37.78,49,1183,496,209,5.2328,174200.0,0,0,0,1,0
272,-122.19,37.78,52,1070,555,190,3.7262,166900.0,0,0,0,1,0
273,-122.2,37.78,45,1766,869,327,4.5893,163500.0,0,0,0,1,0
274,-122.18,37.79,39,617,236,106,5.2578,253000.0,0,0,0,1,0
275,-122.18,37.79,41,1411,626,214,7.0875,240700.0,0,0,0,1,0
276,-122.18,37.79,46,2109,922,329,3.9712,208100.0,0,0,0,1,0
277,-122.19,37.79,47,1229,582,256,2.9514,198100.0,0,0,0,1,0
278,-122.19,37.79,50,954,546,201,2.6667,172800.0,0,0,0,1,0
279,-122.18,37.81,37,1643,620,266,5.4446,336700.0,0,0,0,1,0
280,-122.18,37.8,34,1355,442,195,6.2838,318200.0,0,0,0,1,0
281,-122.18,37.8,23,2317,955,328,6.7527,285800.0,0,0,0,1,0
282,-122.13,37.77,24,2459,916,324,7.0712,293000.0,0,0,0,1,0
283,-122.16,37.79,22,5698,3132,1092,5.9849,371000.0,0,0,0,1,0
284,-122.17,37.78,42,1524,651,267,3.6875,157300.0,0,0,0,1,0
285,-122.17,37.77,30,3326,1704,703,2.875,135300.0,0,0,0,1,0
286,-122.18,37.78,43,1985,1085,407,3.4205,136700.0,0,0,0,1,0
287,-122.18,37.78,50,1642,713,284,3.2984,160700.0,0,0,0,1,0
288,-122.17,37.78,49,893,468,181,3.875,140600.0,0,0,0,1,0
289,-122.17,37.78,52,653,296,121,4.175,144000.0,0,0,0,1,0
290,-122.16,37.77,47,1256,570,218,4.375,161900.0,0,0,0,1,0
291,-122.16,37.77,48,977,446,180,4.7708,156300.0,0,0,0,1,0
292,-122.16,37.77,45,2324,968,384,3.5739,176000.0,0,0,0,1,0
293,-122.16,37.77,39,1583,857,316,3.0958,145800.0,0,0,0,1,0
294,-122.17,37.77,39,1612,912,322,3.3958,141900.0,0,0,0,1,0
295,-122.17,37.77,31,2424,1360,452,1.871,90700.0,0,0,0,1,0
296,-122.17,37.76,41,1594,1074,355,1.9356,90600.0,0,0,0,1,0
297,-122.17,37.76,47,2118,965,382,2.1842,107900.0,0,0,0,1,0
298,-122.18,37.76,37,1575,933,320,2.2917,107000.0,0,0,0,1,0
299,-122.17,37.76,38,1764,987,354,2.4333,98200.0,0,0,0,1,0
300,-122.18,37.76,50,1187,907,246,1.9479,89500.0,0,0,0,1,0
301,-122.18,37.76,52,754,447,165,3.9063,93800.0,0,0,0,1,0
302,-122.18,37.76,49,2308,1299,451,1.8407,96700.0,0,0,0,1,0
303,-122.18,37.77,27,909,396,157,2.0786,97500.0,0,0,0,1,0
304,-122.18,37.77,42,1180,877,268,2.8125,97300.0,0,0,0,1,0
305,-122.18,37.76,43,2018,1111,367,1.8913,91200.0,0,0,0,1,0
306,-122.19,37.76,49,1368,790,269,1.7056,91400.0,0,0,0,1,0
307,-122.18,37.77,52,2744,1479,554,2.2768,96200.0,0,0,0,1,0
308,-122.18,37.77,51,2107,1173,438,3.2552,120100.0,0,0,0,1,0
309,-122.18,37.77,52,1748,1029,366,2.0556,100000.0,0,0,0,1,0
310,-122.19,37.76,52,2024,1030,350,2.4659,94700.0,0,0,0,1,0
311,-122.2,37.76,47,1116,826,279,1.75,85700.0,0,0,0,1,0
312,-122.19,37.77,41,2036,1412,454,2.0469,89300.0,0,0,0,1,0
313,-122.19,37.77,45,1852,1132,349,2.7159,101400.0,0,0,0,1,0
314,-122.19,37.76,41,921,522,159,1.2083,72500.0,0,0,0,1,0
315,-122.19,37.76,45,995,630,237,1.925,74100.0,0,0,0,1,0
316,-122.2,37.75,36,606,531,133,1.5809,70000.0,0,0,0,1,0
317,-122.2,37.76,37,2680,1925,667,1.4097,84600.0,0,0,0,1,0
318,-122.19,37.76,38,1493,1144,351,0.7683,81800.0,0,0,0,1,0
319,-122.19,37.75,19,2207,1481,520,1.3194,81400.0,0,0,0,1,0
320,-122.19,37.75,28,856,435,162,0.8012,81800.0,0,0,0,1,0
321,-122.19,37.76,26,1293,984,303,1.9479,85800.0,0,0,0,1,0
322,-122.19,37.74,36,847,567,159,1.1765,87100.0,0,0,0,1,0
323,-122.18,37.74,42,541,380,123,2.3456,83500.0,0,0,0,1,0
324,-122.19,37.73,44,1066,825,244,2.1538,79700.0,0,0,0,1,0
325,-122.19,37.74,43,707,417,155,2.5139,83400.0,0,0,0,1,0
326,-122.19,37.73,45,1528,801,287,1.2625,84700.0,0,0,0,1,0
327,-122.18,37.73,42,909,646,198,2.9063,80000.0,0,0,0,1,0
328,-122.18,37.73,43,1391,855,285,2.5192,76400.0,0,0,0,1,0
329,-122.18,37.73,44,548,435,136,2.1111,79700.0,0,0,0,1,0
330,-122.18,37.73,42,4074,2736,780,2.455,82400.0,0,0,0,1,0
331,-122.17,37.74,41,1613,1481,414,2.4028,97700.0,0,0,0,1,0
332,-122.17,37.74,47,463,327,137,2.15,97200.0,0,0,0,1,0
333,-122.17,37.74,43,818,494,179,2.4776,101600.0,0,0,0,1,0
334,-122.17,37.73,43,1473,1231,341,2.1587,86500.0,0,0,0,1,0
335,-122.18,37.74,35,504,323,109,1.8438,90500.0,0,0,0,1,0
336,-122.17,37.74,46,1026,749,225,3.0298,107600.0,0,0,0,1,0
337,-122.17,37.74,46,769,693,178,2.25,84200.0,0,0,0,1,0
338,-122.18,37.74,46,2103,1339,354,2.2467,88900.0,0,0,0,1,0
339,-122.18,37.75,45,330,282,80,4.0469,80700.0,0,0,0,1,0
340,-122.18,37.75,46,941,621,195,1.325,87100.0,0,0,0,1,0
341,-122.17,37.75,38,992,732,259,1.6196,85100.0,0,0,0,1,0
342,-122.18,37.75,45,990,901,260,2.1731,82000.0,0,0,0,1,0
343,-122.19,37.75,36,1126,482,150,1.9167,82800.0,0,0,0,1,0
